_,Date,Feeling,今日のひとこと,感動・学び・気づき①,感動・学び・気づき②,感動・学び・気づき③
250713,2025/07/13,😊,CNPトレカ、やっばいね。場を壊さないようには練習しなくちゃ。,ヴァイブコーディングはお休み。,ドウジョウの開催レポートを作成。あんまりトークンを使っていないつもりだったけど、OOｐｓだったからか、すぐに制限が来てしまった。記事は最高なんだけど、制限早すぎですね。,やることがタスクになってると、本当にちゃんとできる。活用していこう。
250714,2025/07/14,😊,ROLGで質問を出した。無事に解決してほしいな。,開発サーバの起動、終了について学んだ。数日前の起動プロセスが残っていたことでエラーになった事例より、タブの消去だけでは消えない？可能性があるため、しっかりとCtrl+Cで停止させること。,ClaudeCodeでの記事作成、画像生成プロセスが安定しない。やはりLLMの中でのワークフローはハードルが高いのかな。,というわけでn8nワークフローを勉強中。Discord書き込み→Slack通知のフローができた。正直、次に何をやるかが定まっていないので、色んな事をやってみたいと思う。
250715,2025/07/15,😌,散歩しながらのライブにも慣れたな。でもネタが面白くないので、本当に練習という感じだ。,今日は出勤日のため勉強できず。ということは、出勤日数が増えると、学びの時間が減るのか。ただ、会社でもヴァイブコーディングやってる。その話は次に。,ショートカット集のウェブアプリを開発中。あっと会社にて。IDEとして提供されているわけではないので、AIとの対話で作ってる感じ。AI時代においては原始的な感じだけど、それでもまだ早いほうだな。,
250716,2025/07/16,😌,さて、ゲームを楽しもう。今日はトレカ特訓やる！,n8nワークフロー、１つ成功した。JSONからの読み込みができた。まだ仕組みは分かっていないけど、簡単なフローが作れた。ここから少しずつフローを増やしていきたい。まずはXで配布してもらったフローを試してみたいが、結構大きなフローなので１つずつやっていくようにAIに指示してもらおうかな。,久しぶりにRAGシステムを更新すべく処置中。なんか色々と問題がありそうなので、もう最初から作り直そうかな。,ブログ記事自動投稿、毎回修正が発生している。けど、ヴェイブだからそこは仕方がないのかなー。
250717,2025/07/17,😊,CNPトレカデッキ提出完了。けと、そのデッキで練習で2連敗。まあ楽しめればいっか。,ブログ記事投稿システム、やはりなかなか難しい。毎回失敗するので、その修正に時間が取られる。とはいえ、自分で作るのに比べれば圧倒的に時間短縮ではあるけど、一度効率的にできると、もっともっとってなる。欲深き人間。,n8nのワークフロー、CLIの提案するノードが古いので、Json読み込んでも上手く動作せず。なので、Json読み込む⇨エラー解消させる⇨CLIにノウハウ蓄積させる、というフローになるのかな。,Mastraプレイグラウンド、やはり上手く動作せず。一度、まっさらなところからやってみるのが良いか。
250718,2025/07/18,😊,CNPトレカの大会、ちょっと緊張する。帰ったら、荷物の準備をしなくちゃ。,ブログ記事作成、一部APIのエラーは出たけど、今までで1番すんなりといったかなー。タイムスタンプを判別するようにして、記事の取り間違いはなくなりそう。,n8nはAIエージェントを試しに使ってみた。Gemini APIが使えたので、それを活用。思ったよりもすんなりとできたな。次のステップとして考えようかな。,ライブ配信は、猫ちゃんと一緒っていう、たぶん私のチャンネルでは需要がないような配信をした。でもたまには良いな。
250719,2025/07/19,😌,トレカ、勝とうと思うとかなりやり込まないと大変だね。まずは数をこなす所からやっていけば良いのかなー。,CNPトレカ、オンライン対戦できるようになった。画角などの調整は大変だけど、映像や音はクリアに配信できた模様。特にリアルとやってる時と違和感なくできたかなって思う。,,
00*,,,,,,
250720,2025/07/20,😊,Todoに書き出すと、本当に色々と消化できる。消化していくクエストみたいな感覚かな。,プログラミングボランティア、楽しく終了した。最近はその日のうちに開催レポートを書くようにしてて、上手くいってる。Claudeを導入した効果だと思う。出来ることなら、ClaudeCode→Wordpressへの直行を目指したいが、いまはまだ現在のままでいいかな。WordPressへの自動投稿は難しそうだし。,,
250721,2025/07/21,😌,CNPトレカはデッキをいくつか構築した。黄色デッキをメインにしたいが、赤単との戦いでイベントカードなどのドローが続くとかなりキツイ。,ヴァイブコーディング、ブログ記事の自動投稿システムは問題なく稼働してる。１週間使ってみて、次はmicroCMS版を改良する。,RAGシステムは少しずつ改良。昨日は同じページを再クロールしないように機能追加した。,
250722,2025/07/22,😊,CNPトレカ、黄色はなかなか難しい。赤単にはボッコボコにやられる。。。そしてROLGは意外と稼げるのかな？？,Sanityへの記事統合、今日も問題なく画像統合まで完了。そろそろモデルの変更も考えてみたい。イラスト調のものにしようかな。,LLMでコードを考えて、そのコードを貼り付ける、は大変。ClaudeCodeやGEMINI CLIがいかに便利か思い知った。,
250723,2025/07/23,😌,ROLGはアイテムが売れない。,ヴァイブコーディング、sanity記事作成は少しトラブル。やはりワークフローをLLMで回すのは限界があるのか。,Sunoで曲作り。ダンスホールクラッシャーズみたいな感じの曲がいくつも出来た。すごい時代。あとは似たような曲になるので、それをどうプロンプトで崩すか。あと課金できない。,
250724,2025/07/24,😊,トレカは奥が深いね,CNPトレカ、オンラインバトル実施。一勝三敗。赤単VS青赤で１回勝てた。学びとしては、助太刀を切りすぎないこと。どれで勝負するか把握しておくこと。リーリーの巨大化の使うタイミング、このあたりか。これは結果をしっかりと記録しておくことが大事なのか、それとも数をこなすことが大事か。,CNPトレカのカード情報をPythonで抽出。PythonプログラムはChatGPTに作ってもらったので、これもヴァイブコーディングと言えるか。このカード情報はDifyに投入してチャットボットを更に高機能化する。,Sanityへのブログ記事投稿、やはりタイムスタンプ問題が解決しないので、こちらから「こうしてほしい。どうだろうか」と提案した。その結果は、次の記事更新の時に分かるはず。この対策で感じたのは、もともとプログラマーであることは、強いなーって。バックボーンがあって、それとヴァイブコーディングをかけ合わせるのが最強だなと。
250725,2025/07/25,😌,いまはCNPトレカにハマっている。,ヴァイブコーディング、やはりClaudeCodeはどんな処理をしているか見ておかないといけない。先祖返りを平気で行うし、中途半端な状態で実行しようとするし。なので完全に放置してものができる、というのは、現時点ではまだ幻想かな。,n8nのフローを作ったけど、たぶん動いていない。日曜日にテストしてみる。,
250726,2025/07/26,😊,CNPトレカのデッキビルダーを作ってる。ここまではいい感じ。でもイラストがたぶん共有できないから（あと、勝手にアクセスしてるし）、作っても自分用だな。それも良いかな。,出張ドウジョウ。子どもたちの個性あふれる作品を堪能した。保育園幼稚園の子でもScratchはできるね。この年齢層から初めてくれると、すごく将来が楽しみだ。中学生くらいになると、作品の幅がすごく広がる。オリジナリティっていう点では高くはないけど、〇〇をやってみた感覚は良いと思う。結局は、どのコンテンツも真似＋αなので。,n8nはウェブサイト更新でSlack通知が実現できた。ClaudeCodeで大枠を作って、Geminiで整形みたいな感じ。明日はまたClaudeCodeで差分を確認させて、ノウハウとして蓄積する予定。次は何をやろうかな。,Sanityブログ更新、APIエラーを解消したいけど、小さなプログラムでもエラーになるんだよね。でもきれいな感じにはしたいから、明日大改造してみるか。きっと動かなくなりそうだな。。
250727,2025/07/27,😊,黄色デッキで勝ち上がる人いるんだ。びっくり。デッキ真似しよ。,n8nワークフロー、無事に動いてた。ブログ記事を更新→Slackに通知。自分のブログだから、だから何？っていう感じだけど、ワークフローというものを理解するためにはいい勉強になる。次は何をやろうかな。,ヴァイブコーディング、APIエラーを解消したかったが、伝え方が悪く。。。SanityのAPIエラーが発生していると思われて、期待通りの対策にはならなかった。伝え方が難しい。。,デッキ構築アプリ、いい感じで出来上がってきている。今回は都度リファクタリングや設計書の更新をやってるので、よほど大きな間違いは起こさないはず！
250728,2025/07/28,😊,CNPトレカとヴァイブコーディングに発信は舵を切っていこう。毎日それぞれ１ポストは絶対にしたいな。,ヴァイブコーディング、ClaudeCodeのAPIエラーはこのままでは解決が難しそうなので、これは諦めることに。やはりこの量のスクリプトやプロンプトを１つのワークフローでClaudeCodeで実行するのは無理ですね。なので、n8nでフローを組むことに決断。これから少しずつゴールに向けて勉強していく。,デッキビルダー、やりたいことがどんどん出てくるので、更新更新という感じでトークン量が増えてしまった。開発前の設計がいかに大事が思い知らされた。その一方でそういうちょこちょこした更新が簡単にできるのもClaudeCodeの魅力ですね,学校からの講座依頼が掛かった。これを個人として行うのか、キッカケキカクとして行うのか悩むところ。税金を考えると、法人なんだけど、個人の方が気楽なんだよなー。
250729,2025/07/29,😭,体調悪く、あまり自分自身の状況が把握できていない。起きて覚醒してるはずなのに、その状態で寝てるのかな。意識が混濁してて、あれやったっけ？あれやった記憶はあるけど、やってない。とか、どれが現実でどれが夢なのか分からない状態になった。これは翌日に書いてるけど、いまは問題無さそう。脳とかに異常がなければいいな。,,,
250730,2025/07/30,😊,あと２日で土日。何しようかな。,ヴァイブコーディング、デッキビルダーを作成。成功→デバッグ用ロジック消す→失敗→デバッグ→成功→デバッグ用ロジック消す→失敗、を３回繰り返した。なぜデバッグ用ロジックを消す際に、成功してたロジックも消すのか、このあたりがAIが苦手なのか、それともスレッドが長くなったことの弊害なのか。こまめに中断したほうが良いかもな。,CNPトレカ交流会、サポート制度の申請が通った。フォローしたので、面倒なやつだなと思われていないと良いな。低姿勢でいこう。開催日時はBGさんぴちさんと調整中で、９月予定。明日、候補日の会議室が空いているか確認しておこう。,デッキ構築、４パターン位が手持ちのトレカだと限界だな。１日１０回という一人回しの縛りを設けるか。いやー、それはキツイなやめておこう
250731,2025/07/31,😊,トレカ、追加で注文しちゃった😆,デッキビルダー、一通りの機能は完成。ここから、リファクタリングをやっていくが、トークンの消費量半端ない😅　今日はClaudecodeはこれに集中だなー。,CNPトレカ、1人回しとオンライン対戦。コンバットタイミングは難しいので、何度もFAQを読み返す必要があるなー。,トレカ用の場所、ウインク愛知が良いのか、もっと開けたオープンな場所が良いのか。悩む。ウインクあいちは会議室感が強いので、好まれないかなー。周りはビジネスな感じだろうし。団地の部屋で人が集まってなかったしなー。
250801,2025/08/01,😭,最悪最悪最悪。月曜日くらいまでには忘れられると思う。,CNPトレカデッキビルダー、機能完成しリファクタリングも完成。結構いい感じになったと思う。次はデッキを魅せるための機能追加。そしてデプロイ戦略を練ること。,,
250802,2025/08/02,😌,まだ立ち直ってない部分はあるが、どうでもいいやって思おうと思う。,デッキビルダーは完成。デプロイまで完了したので、あとは使いながら整えていく。,CNPトレカ交流会イベント、会議室を予約したが、トイレが故障中とのこと・・・別の会議室を取ろうと思う。。,
250803,2025/08/03,😊,あー明日は出社、憂鬱すぎる。いやだいやだ。,久しぶりにヴァイブコーディングに触れなかった１日。とはいえ、ブログ投稿システムは完成してるし、デッキ構築ビルダーも出来たし、さて次は何をやろうかなって感じ。いまのところはn8nのワークフロー構築かなと思ってる。,そういえばDifyも使ってる。主にCNPトレカのチャットボットとしての活用だけど、かなりいい感じで回答してくれたな。,Voicyのパーソナリティーに応募してみた。エンジニア枠が新設されたので、その枠で。結構色んな人が通ってるみたいなんだけど、インフルエンス力が低いので厳しいか。でもエンジニア枠を設けるくらいなので、そこの人数は稼ぎたいはず！
250804,2025/08/04,😌,CNPトレカ交流会、本予約完了。さて、ここから告知アンド参加者募集です！,"ヴァイブコーディング関連は、本日はお休み。とはいえ、会社のAIを使ってselenium用のJsonを作成。うーん、やっぱりclaudecode やgeminiCLIが便利すぎるなー。 ",朝活読書を始めてみた。キンコン西野さんの本を読んでる。応援シロを残す戦い。そして、オーバースペックになりすぎない戦略を取りたい。これをCNPトレカの交流会で実現したい。,
250805,2025/08/05,😊,CNPトレカ交流会はここから集客！,CNPトレカ交流会 in 名古屋の告知を出した。チャッピーに教えてもらいながら、文面を作り、イラストのデザインも考えてもらい。フォームの項目も作った。頑張った。,けど、思ったよりも反応は低いのかな。平日の就業時間内のポストだったし、ここからしつこいくらいに宣伝していかなければ！,詰めCNPトレカは難しいなー。AIに作ってもらうときっちり枠にはめようとするけど、もう少しラフな感じでカードを置けるようにできないかなー。明日AIに聞いてみよう。
250806,2025/08/06,😊,うーん、仕事で残っている時に限って・・・,sanity へのブログ記事投稿、問題なく実施できている。とはいえ、たまたま１発でうまくいっただけで、根本は解決できていない。デッキビルダーの方が片付いたら、n8nのワークフロー作成に進む。,トレカ関連は盛り上げ実施。カード公開を盛り上げ、週末イベントを盛り上げ、Youtube配信を盛り上げ。はたしてどのくらい届いているのかな。,朝活読書はシン・コミュニティーマーケティングを読んでいる。コミュニティでここまでのものがアウトプットされるってすごいと思う。で、それがなぜ出来ているのか、が分からない。IPが強いから？一時期に儲かるという時期があったから？そこにいる人の特性による？
250807,2025/08/07,😌,最終日、やっと休みになった！,タスクを消化するっていう感じの１日だった。ヴァイブコーディングは詰めCNPトレカを構築。少しずつだができてきた。,,
250808,2025/08/08,😊,休み１日め。ダルダルのだらだらだった。,デッキビルダー、デッキシミュレータ機能追加は完了。もう少し早く完成してれば「これできたよ」ってコミュニティに言えたかな。やっぱり後発ってこともあって手を挙げられないのは変わらないなー。,Sunoの曲作りは、だいぶ仕組みは分かってきた。ただMV作成は結構難しいな。これはガチャ要素が大きいのもあるけど、そもそも安定して画像生成ができないから、そこをしっかりとやっていったほうがいいな。それでStableDiffusionのほうがいいのかなーってちょっと思ってる。,GPT-5が出たけど、あまりまだ違いは分かってない。
250809,2025/08/09,😌,アウトプットを３件するが目標だけど、ちょっと怖いよね。心理的なハードルがあるなって思う,Sunoでの曲作りはできるようになった。一足飛びにMVは難しいので、Sunoで公開できるように整える作業をしていこう。目標はそれをオンラインサロンに貼ること！,ブログ記事のOGPを変更してDiscordで表示される形式にした。これもオンラインサロンに貼る。,詰めCNPトレカを作ってみた。これもサーバーに貼ってみる。
250810,2025/08/10,😊,トレカやりたいトレカやりたい！,アウトプットを２つ行った。１つは楽曲を使った事。もうひとつはblogの投稿システムについて。特に反応はないけど、そういうもん。人は人のことをあまり気にしないので、どんどんアウトプットしていけば良いなって思った！,MV制作は本当にやろうと思ったら、かなりの時間が掛かるなー。うーん、ちょっと悩む。けど、一曲１ヶ月くらい掛けても良いのかも。,コミュマネチックな事をやってみたけど、大変って事が分かった。言葉足らずだと、相手を混乱させてしまうし、長くても読んでもらえない。奥が深いなー。
250811,2025/08/11,😊,CNPトレカ、次男に２戦２勝！明日はゲームをやろう。映画を見に行こうと思っていたけど、雨降りだからやめようかな。,MV作成。画像生成から動画生成まで実施した。明日はこれをCapcutを使ってつなぎ合わせていく作業。その作業についてもChatGPTが指示してくれるのでそれに沿って時間とは編集していく。,CNPトレカ交流会のLP制作。Figma Makerで作ってみたが一瞬でできて驚いた。ただクレジットがないため、Cursorで制作することに。せっかくGPT-5が無料で使えるしね。今のところはいい感じ。でもCursorっぽいデザインになるので、そこは修正必要。,ドウジョウの開催レポートを作成できなかった。こういうのはすぐにやるのが一番効率的なのに。もう眠いので明日に回そう・・
250812,2025/08/12,😊,CNPトレカ、東京へ大会を見に行くことが決定！やった、,トレカ交流会のLPは、謎に消えたので作り直し。Gitへのプッシュはしておいたほうが良かったなと思う。その後に作り直したけど、CursorのGPT5、Claudeではいまいち。ClaudeCodeでUltrathinkで考えてもらったらいい感じなった。消える前のGPT-5のページはまあまあ良かったので、ガチャ要素かなー。,MVづくり。なかなか難しい。短い動画はできたので、あとは音にあった動画をつなぎ合わせていく、という感じだな。いちおうAIにシナリオを作ってもらったけど、それ通りじゃないほうが良いなって感じ。,
250813,2025/08/13,😊,MVが作れたのは大きい。,MV（歌詞なし）ができた！ちょっと感動🥹周りの評価は気にせず、どんどん作っていきたい。,,
250814,2025/08/14,😊,実家に帰ったくらいの１日。夜も早く寝たし、たまにはこういう１日もいいな。,,,
250815,2025/08/15,😊,明日はCNPトレカ大会！！！！,映画「国宝」をみた。圧倒的なエンターテイメント。この感動をどう表現していいかわからないくらいに、心の整理がつかないような感じ。たぶん圧倒されたんだと思う。本物に触れることができた。,音っていいなって改めて思った。昔音楽が好きだったけど、最近は聞くことが出来ていなかった。でもどこか根っこの部分には音楽・音っていうのが私の中に根付いているんだと思う。動画やイラストはイマイチだけど、Sunoはちょっとしっかりとやってみようかな。,最近は本も読んでて、良いものに触れるっていう習慣がついてきていると思う。じゃあ、いままではなんで出来ていなかったか。それによって削られた時間は何だったんだろう。１つは副業。補助金の支援。ずっと嫌だった時間が、別の感情を抱くものにガラッと変わった。
250816,2025/08/16,😊,でもとても楽しい旅になった。まずは次男とのバトル。そして１人回しを頑張ろう。,CNPトレカのチャンピオンシップ大会を観戦。やっぱり本気の人たちはすごいな。情熱も。そこまで心血注げれるものって、そこまでないなー。トレカにしても、興奮はしたけどそこまで頑張りたいっていう感じでもないし。そう思うと、何をして貢献しようかなって考える。,１つは交流会のように裏方に回ることだろうか。でも例えば名古屋で毎月交流会をやるといっても、現実的にはそれは難しいし。家庭の事情故に。,XserverVPSの無料プランの更新忘れてた・・縁がなかった、ということかな。
250817,2025/08/17,😊,CNPトレカの一人回しをやりたい！,子ども向けイベント。途中でスタンプの対応が変わったのが非常に混乱した。イベントを主催する側として気をつけたほうが良いなと、逆に学ぶことができた。,マルシェイベントは、今後は難しいのかもしれない。他のマルシェの話を聞くと。その難しいに挑戦するのはアリだけど、それを実行するのはかなりのパワーが必要。いまの団体にそこまでのパワーは無いだろうな。,
250818,2025/08/18,😊,CNPトレカ追いカートンしちゃった。まあ原資はゼロなのでいいっか。,学びっていう点では何も本日はやらず。AIも音声原稿を作ったくらいかな。まあそういうときがあってもいい。,朝活読書は１日お休み。とはいえ、今日は生配信を聞きたかったからそれでよし。,
250819,2025/08/19,😊,ネコちゃんが解放されて、さっそく喧嘩してる！！,久しぶりにSanityでブログ記事を作成。とくに問題なく作れたな。n8nが使えなくなってしまったので、しばらくはClaudeCodeでの記事作成を継続するか。microCMS板もちょっとずつ作っていこうかな。,CNPトレカデッキ構築プロダクト、新カードの情報をマージするところまでできた。PythonとClaudeCodeの組み合わせで実施。次はCards.jsonを作っていく。そして紫カードの情報を追加していく。,
250820,2025/08/20,😊,ねこねこねこ,CNPトレカデッキビルダー、第２弾カードの反映は順調。デッキビルダーは問題なく作れた。次はシミュレーションの方に進む予定。明日。,作ったMVに歌詞をつけるべくRemotionの使い方を勉強中。そこまで難しくはなさそうではある。,
250821,2025/08/21,😊,明日からはわんおぺー,Suno→MV→Remotionによる歌詞付ができた！思ったよりもClaudeCode×Remotionは簡単だった。そして公開して聞いてもらえて嬉しかったね。,MVづくりはクリエイティブな部分、エンジニア部分の両方が学べていいな,
250822,2025/08/22,😌,バタバタの１日だった。トレカができてなーい。,CNPトレカの世界観考察をClaudeCodeとGeminiで作成。いい感じで出来たし、自分の理解にも繋がってる。文字は問題ないけど、あとはイラストをどうするかが問題だなー。,,
250823,2025/08/23,😊,午前中はものすっごいダラダラした。そういうときがあってもいいだろう。,トレカの世界観考察、作成し投稿。ポストは無反応だけど、どこかでリポストしようかな。,マイクラカップ審査会、渋い感じだったなー。報酬的に。,
250824,2025/08/24,😊,そろそろ金銭面での引き締めをしていかなければ、と。いまのところは、12月のロボットのイベントは日帰り往復でいいのかなーと。とはいえ、経費を積まないと税金に消えるだけだしなー。,ドウジョウ開催日。人数も少なくて運営は楽だったし、開催中から開催人数の集計や開催履歴の更新ができ、かつ、開催レポートの下書きにも着手できて、その後が楽だった。当日中に開催レポートが発信できたのも良き。,マイクラカップの応募に関する質問が出てきて、これが地味に時間が取られる。システムへの登録って、やっぱり難しいな。とすると、formsでの登録とかが楽で良いのかな。,AAVEに関する借り入れについてチャッピーに聞いた。勉強のため、という感じだけど、でも欲が出てくるよね。駄目だ駄目だ。小銭稼ぎでリスクを追うのは辞めたほうがいいな（といっても、リスクが低いLP組むのも小銭ではあるけど）
250825,2025/08/25,😊,昼寝は結構大事だと思う。あとソファで横になるのは辞めたほうがいいな。すぐ寝ちゃう。,小学校との打ち合わせ。結構喋りすぎたかな。それともあれくらい喋ったほうがいいのかな。キャリナビの人があまり話さなかったのもあって話したけど、もう少し耳を傾けることを考えたほうがよかったか。間があくのが耐えられず喋った感じだな。,Suno、バイブコーディング、あまりやれてないなー。ラノベを読む時間が楽しくてって感じで。,CNPトレカのオンライン対戦の連絡がきた。8/28に実施予定。和室でやることになるから、今日あたりにオンライン対戦の環境を考えよう。
250826,2025/08/26,😊,nano-banana使ってみた！すごい！！,久しぶりの出社。最低限のタスクは消化できた。,ライブ配信も忘れそうになったけどできたなー。深夜１１時。出社した時のライブ配信のやり方は考えないとな。１つの案としては帰宅しながらの収録だけど、自転車があるとできないしな。,
250827,2025/08/27,😊,今日は比較的いろいろとチャレンジすることができた。プペルのオンライン配信が楽しみである。,nano banana 、楽しすぎる。イラストをちょっと変えるとか、ポーズをこうしたいっていうのは、もうこれで十分って思えるほどですね。とはいえ、あとはこれをどう使うか、でしょうか。,CNPトレカ、本日は拡散中心に。存在感をしっかりとアピールしないと。,CNPトレカ、１人回しは合ってないなｗやっぱり対人戦をやりたいですねー。
250828,2025/08/28,😌,ビジネスだから、大人だから、やりたくないことをやらないといけない、っていうのはやっぱり嫌だな。,やっぱり補助金はいやだな。なんで嫌なのか分解して考えると、自分ごとじゃないからだな。お金じゃない部分で自分で納得できないからだと思う。ということで、もうやめたい。,CNPトレカの考察記事を発信した。今回は少し反応をもらえた！次は各大陸の考察に移っていこう。,nano banana楽しい。時間が溶ける
250829,2025/08/29,😊,レイトショーを見に行った。8番出口。予備知識無しで見に行ったので、ホラーに分類されてることとか、あとからしった。知ってたら見なかったかも。でも面白かった。ゲームをしっているかしっていないかで感想は変わってきそう。,Sunoの音楽制作、バイブコーディング、最近できていないな。週末はちょっと無理やりにでもやってみよう。,,
250830,2025/08/30,😊,そろそろCNPトレカの交流会ももろもろを準備していかなくちゃ,やったことといえば、Journeyをプレイしたことくらいかな。あとPlanetAtmosのゲームナイトの感想をポストしたくらいだね。,,
250831,2025/08/31,😊,Journeyをプレイ。これくらいのライトだけど映像がきれいなゲームも良いな。次にAIがオススメしてくれたゲームは、そこまでではないかなーって思う。時間があればやろうかな。,,,
250901,2025/09/01,😊,出社。まあ普通だけど、時間はなくなるよね。,SunoでCNPトレカの曲を作成。デッキビルダーのプロジェクトを使って原案を作成。その後ChatGPTで整理して、部分部分でClaudeで整えて。100曲ぐらい生成して４曲まで絞った。ここまでやったっていうのをどんどんと発信していかねば。,,
250902,2025/09/02,😆,トレカトレカトレカ,CNPトレカ開封まつり、でも１日２ボックス位が限界。開封→スリーブ入れと大変。なので、デッキ作るっていうのは明日以降になりそうだな。,,
250903,2025/09/03,😌,トレカデッキを組むぞー！,CNPトレカの開封祭りをやってて、学びはあまりないかなー。でも遊びも大事。ここにコミットしたいからこそ、この時間を大切にしたいと。,朝活読書はいい感じ。読んだ本の内容をアウトプットできてる（音声配信で）。,
250904,2025/09/04,😊,トレカたくさんやった。バトルできたのも良かったけど、まだまだカードの理解が甘いなー。,少しSunoで曲作り。少しムズい。ゆったりテンポな曲なので時間も長いので、本格的にやろうと思うと、結構時間とられる・・・,CODExが使い勝手が良いらしい。最初にちょっと触った程度であと使えていないので、ちょっと使ってみないといけない。,
250905,2025/09/05,😊,トレカ以外のことをやってないことに焦りを覚える。。,ドウジョウの準備を行う。マイクラの準備。→当日の様子としては、イマイチ。時間が短いのもあるけど、行儀の問題もある。次回以降は止める、かもしくはテーマを決めるか、ただテーマを決めても時間が。。。,,
250906,2025/09/06,😊,CNPトレカ、黄色は勝てたけど、紫はなかなか難しいなー。ヤーマの罠は使い勝手が良さそう。,出張ドウジョウ、いろんな子どもがいると改めて感じた。いまはそれにも慣れてしまったことも合って、そこまで感じないが、そこを感じてどう対応すべきかっていうのを考えないといけないかも。,久しぶりのSuno。クレジットが余ってるので使わないと。。。,
250907,2025/09/07,😊,トレカ準備におわれたい、むしろ。,CNPトレカ交流会の準備、スターターデッキとして追加で配布する分の準備完了。ちょっと青色カードが減ってきてて、いまさら焦る😅　とはいえ、絶対にこんなにカード使いきれないから、別に良いのである。ただ、どこまで配るかっていうのは考えものですね。,Sunoでの曲作り。いまいちピンとくるものがないなー。,
250908,2025/09/08,😣,まあいっかー。,うん、なにもしない１日となってしまった！まあいっかー。,,
250909,2025/09/09,😊,明日はお客さんと打ち合わせ。緊張するなー。,帰宅しながらのライブ配信。周りにほとんど人はいなかったけど、そういうのを気にすることなく話せるようになってきたかなー。ぽつりぽつり居るってい場合は難しいけど、たくさんいる、か、全くいないっていう場合は問題無さそう。,Sunoで楽曲づくり、いくつか完成候補はできている。やっぱり100曲位を作って１曲を選ぶっていう感じだな。感覚的には。,
250910,2025/09/10,😊,Journaling忘れたー,SUNOで曲を作り公開したくらい。,,
250911,2025/09/11,😊,トレカイベント緊張してきた,CNPトレカはお申し込みが増えて良かった。けど、増えたら増えたですごく不安になる小心者。イベントやるのはどうってことないけど、変なところでプレッシャーを感じている！,Codexを使ってみてる。UIはClaudeCodeの方が使いやすいかな,
250912,2025/09/12,😊,心機一転で頑張りたい。,ついに病院へ行ってしまった。もう限界だっていうことで。タラレバを言えばきりがないので言わない。ここからどうやって収入を得ていくのかっていうのを考えていかなければ。,ひとまず補助金からは逃れられた感じ。さて、本当に収入をどうするか・・,
250913,2025/09/13,😊,眠気がすごい・・・,なにはともあれ、補助金からは逃げることが出来たと思う。ただし次の収入の柱を考える必要がある。その前に支出をしっかりと見たほうが良いなと思う。,CNPトレカ交流会の準備はほぼ終わり。あとはリュックに入れるだけかな。楽しみだー。,トレカ交流会の次回を考えよう。
250914,2025/09/14,😆,トレカ交流会が楽しかった。また。やりたい。次回も5名は確実に参加してくれると思う！,cnpトレカ交流会、無事に終了。教えるだけだったけど、それでも楽しかった。プレイしていないのに楽しめたな。教えるとか、見守るっていうのが合ってるのかな？（上から目線で見たい、という心理もあるのか？？）,久しぶりにブログをclaudecodeで書いた。機械的にこなすだけだから、時間は開いても完璧にこなす。AIにブランクとかはないんだろうなー。,
250915,2025/09/15,😊,補助金の連絡が来るんじゃないかと思ってビクビクしてる。今週乗り切れば大丈夫なはず・・,桶狭間小学校の出前授業の準備。慣れたものだけど、こういうときにきっと落とし穴があるんだろうなー。じゃっかん心配なのは打ち合わせ資料が見つからなくて、昨年と同じ内容で良かったかどうかが怪しい。。でも向こうもなにもメモしてなかったから、違ったとしてもバレないかｗ,AI関連はなにも出来なかったな。明日は考察記事を作成しようかな。,Sunoの曲作りも考察記事が出来たら考える。その前にMidjourneyが復活したからMV作ってもいいなー。
250916,2025/09/16,😊,Codexが結構良いかも。途中で止まるのはGeminiでもClaudeCodeでも一緒なので、しばらくはCodexをメインに使っていこう。,CNPトレカ世界観考察の第３弾を公開。ただし、あんまり拡散されないな。前回もだけど、考察系はあまり人気がないかも。そのかわりに、交流会はすごく注目される。やはり独りよがりのものよりも、みんなを巻き込む系が良いね。,CNPトレカデッキ構築。赤単とセイドウデッキを作る。セイドウデッキは面白いけど、序盤が戦えない。緑系以外には勝てない感じ。５コス以降のセイドウ幹部を減らして、２３４あたりの式神をいれるようにする。,音楽・MV系はできず。いまからちょっとだけやろうかなー。
250917,2025/09/17,😊,明日は検査カー。,CNPトレカ　オンライン対戦ができてよかった。セイドウデッキは強いのか弱いのか。。。,MVづくりのための画像生成や動画生成を開始した。撮って出しみたいな感じで、とりあえずくっつけてMVを完成させよう。,
250918,2025/09/18,😊,CNPトレカのファンスペースやりたい。でも単なるニュース読み上げのスペースになりそうだな。それでも良いからやってみるかー。,MV制作、画像と動画素材の準備は終わった。けど、画角やスタイルが同じものばかりが生成されるので、繋ぎ合わせてもイマイチな感じにはなりそう。部分部分で抜き出して使うとして、のっぺりとした感じにならないようにはしたいかな。,CNPトレカの募集開始。現時点では２名のお申し込み。ここからどんどんとお知らせしていく！目指せ２０名！！,CNPトレカオンライン対戦。黄色デッキ→いい感じ。紫デッキ→勝てない、見直す必要あり。赤デッキ→強いね。主軸は黄色デッキにして、セイドウデッキを試したいなー。
250919,2025/09/19,😊,マイクラカップ、色々と動き出さないといけないなー。,出前授業終了。11人、問題なく対応完了✅前に作った資料だけど、まだ使いまわせるなー。maqueenも教材としては優秀。,,
